rank,model,tasks,rows_compared,gold_rows,prediction_rows,coverage,unmatched_gold_rows,unmatched_prediction_rows,weighted_macro_accuracy,weighted_macro_precision,weighted_macro_recall,weighted_macro_f1,weighted_exact_labelset_accuracy
1,gemma,2,1014,1014,1014,1.0,0,0,0.9124753451676528,0.42210061478743965,0.5344382855977767,0.46532568174610184,0.7287968441814595
2,gpt-oss,2,1014,1014,1014,1.0,0,0,0.8910256410256411,0.48043370153565584,0.5115349806802301,0.4637201341410932,0.6804733727810651
3,nemotron,2,1014,1014,1014,1.0,0,0,0.883629191321499,0.4209227929173098,0.5527735048357999,0.448231583995642,0.6755424063116371
4,qwen,2,1014,1014,1014,1.0,0,0,0.9102564102564102,0.4286435225325842,0.42512449781143496,0.4210161891471897,0.6942800788954635
5,mistral,2,1014,1014,1014,1.0,0,0,0.7985700197238659,0.3370711586575503,0.38922303118047846,0.3471255689491307,0.3777120315581854
