scope,system,domain,compared,accuracy,precision,recall,f1,tp,tn,fp,fn
CE_only,agentdam,shopping_Amazon_chat,467,0.6124197002141327,0.9746835443037974,0.30078125,0.45970149253731346,77,209,2,179
CE_only,agentdam,shopping_ebay_chat,547,0.659963436928702,0.9133858267716536,0.39862542955326463,0.5550239234449761,116,245,11,175
CE_only,llm_council,shopping_Amazon_chat,467,0.8715203426124197,0.8161290322580645,0.98828125,0.8939929328621908,253,154,57,3
CE_only,llm_council,shopping_ebay_chat,547,0.8811700182815356,0.8304093567251462,0.9759450171821306,0.8973143759873617,284,198,58,7
oversharing_any_label,agentdam,shopping_Amazon_chat,467,0.5074946466809421,0.9873417721518988,0.254071661237785,0.40414507772020725,78,159,1,229
oversharing_any_label,agentdam,shopping_ebay_chat,547,0.6343692870201096,0.984251968503937,0.38699690402476783,0.5555555555555556,125,222,2,198
oversharing_any_label,llm_council,shopping_Amazon_chat,467,0.9229122055674518,0.8950437317784257,1.0,0.9446153846153846,307,124,36,0
oversharing_any_label,llm_council,shopping_ebay_chat,547,0.9085923217550275,0.8659517426273459,1.0,0.92816091954023,323,174,50,0
