scope,rank,system,gold_rows,system_available_rows,system_coverage,compared,common_coverage,accuracy,precision,recall,f1,tp,tn,fp,fn
CE_only,1,llm_council,1014,1014,1.0,1014,1.0,0.8767258382642998,0.8236196319018405,0.9817184643510055,0.8957464553794828,537,352,115,10
CE_only,2,agentdam,1014,1014,1.0,1014,1.0,0.6380670611439843,0.9368932038834952,0.35283363802559414,0.5126162018592297,193,454,13,354
oversharing_any_label,1,llm_council,1014,1014,1.0,1014,1.0,0.9151873767258383,0.8798882681564246,1.0,0.9361069836552749,630,298,86,0
oversharing_any_label,2,agentdam,1014,1014,1.0,1014,1.0,0.5759368836291914,0.9854368932038835,0.32222222222222224,0.48564593301435416,203,381,3,427
